Dolar_ccl;fecha;
3.91;22/2/2010;
3.93;26/2/2010;
3.89;9/3/2010;
3.9;12/3/2010;
3.91;16/3/2010;
3.92;17/3/2010;
3.85;25/3/2010;
3.87;9/4/2010;
3.9;12/4/2010;
3.87;13/4/2010;
3.87;19/4/2010;
3.86;27/4/2010;
3.92;3/5/2010;
3.88;4/5/2010;
3.94;5/5/2010;
3.95;10/5/2010;
3.89;11/5/2010;
3.99;9/6/2010;
3.99;1/7/2010;
3.94;6/7/2010;
3.94;14/7/2010;
3.93;23/7/2010;
3.91;26/7/2010;
3.92;27/7/2010;
3.91;29/7/2010;
3.97;30/7/2010;
3.96;12/8/2010;
3.9;17/8/2010;
3.91;18/8/2010;
3.86;25/8/2010;
3.93;31/8/2010;
3.96;9/9/2010;
3.95;10/9/2010;
3.95;13/9/2010;
3.94;20/9/2010;
3.91;21/9/2010;
3.92;22/9/2010;
3.93;30/9/2010;
3.95;6/10/2010;
3.9;19/10/2010;
3.9;21/10/2010;
3.95;26/10/2010;
3.92;2/11/2010;
3.97;4/11/2010;
3.9;9/11/2010;
3.86;10/11/2010;
3.98;11/11/2010;
3.98;12/11/2010;
3.97;15/11/2010;
3.97;16/11/2010;
4.02;10/12/2010;
4.01;21/12/2010;
3.98;23/12/2010;
3.97;4/1/2011;
4.02;17/1/2011;
4.01;18/1/2011;
4.02;20/1/2011;
4.04;21/1/2011;
4.05;26/1/2011;
4.04;27/1/2011;
4.12;28/1/2011;
4.09;31/1/2011;
4.13;2/2/2011;
4.11;7/2/2011;
4.12;8/2/2011;
4.13;14/2/2011;
4.13;16/2/2011;
4.16;22/2/2011;
4.19;23/2/2011;
#�VALOR!;24/2/2011;
4.24;25/2/2011;
4.21;28/2/2011;
4.19;3/3/2011;
4.2;9/3/2011;
4.22;10/3/2011;
4.22;11/3/2011;
4.22;14/3/2011;
4.22;15/3/2011;
4.24;16/3/2011;
4.21;17/3/2011;
4.21;18/3/2011;
4.21;22/3/2011;
4.21;23/3/2011;
4.19;28/3/2011;
